20.46,7.06
21.96,7.05
23.57,7.05
24.44,7.05
25.3,7.05
27.15,7.05
29.14,7.05
31.27,7.05
33.56,6.98
36.02,6.93
37.34,6.9
38.66,6.87
41.49,6.81
44.53,6.71
47.79,6.63
51.3,6.53
53.18,6.48
55.05,6.42
59.09,6.32
63.42,6.17
68.06,6.02
73.05,5.86
75.72,5.76
78.4,5.66
84.14,5.44
90.31,5.21
96.92,4.9
104.02,4.65
111.64,4.38
115.73,4.29
119.82,4.2
128.6,4.17
138.02,4.08
148.13,3.9
158.98,3.66
164.8,3.51
170.63,3.36
183.13,3.09
196.54,2.79
210.94,2.51
226.39,2.25
242.98,1.98
251.88,1.86
260.78,1.74
279.88,1.52
300.38,1.32
322.39,1.1
346.01,0.88
358.68,0.78
371.35,0.69
398.56,0.51
427.75,0.36
459.09,0.23
492.72,0.12
510.77,0.05
528.82,-0.01
567.56,-0.07
609.14,-0.18
653.76,-0.21
701.65,-0.16
753.05,-0.04
780.64,0.05
808.22,0.14
867.43,0.37
930.97,0.76
999.17,1.2
1072.37,1.74
1111.65,2.04
1150.93,2.33
1235.24,2.99
1325.73,3.66
1422.85,4.35
1527.08,5.08
1638.95,5.82
1698.98,6.16
1759.02,6.49
1887.88,7.17
2026.18,7.85
2174.61,8.52
2333.92,9.16
2419.4,9.41
2504.89,9.66
2688.39,9.96
2885.34,9.96
3096.71,9.72
3323.56,9.28
3445.3,9.02
3567.04,8.76
3828.35,8.26
4108.8,7.8
4409.8,7.37
4732.85,6.85
5079.56,6.15
5238.23,5.77
5396.9,5.39
5705.17,4.51
6031.05,3.68
6375.54,2.87
6808.13,2.21
7057.5,1.97
7306.87,1.73
7842.15,1.57
8311.06,2.44
8523.58,3.12
8808.0,4.06
9311.11,4.52
9522.67,4.0
9734.22,3.47
9942.88,2.38
10176.55,1.05
10363.25,-0.02
10660.5,-1.29
10774.76,-1.83
10889.01,-2.37
11122.43,-3.26
11481.97,-4.11
11706.4,-4.71
12107.21,-5.62
12485.4,-6.08
12863.58,-6.54
13805.92,-6.58
14817.31,-6.21
15742.97,-6.68
16350.66,-7.58
16558.39,-8.41
16813.08,-8.96
17067.77,-9.5
18318.1,-9.26
19364.44,-9.33
