20.19,2.26
21.67,2.47
23.26,2.65
24.97,2.86
26.8,3.0
28.76,3.14
30.87,3.26
33.13,3.38
35.56,3.48
38.16,3.55
40.96,3.64
43.96,3.66
47.18,3.77
50.64,3.78
54.35,3.79
58.33,3.81
62.61,3.77
67.2,3.77
72.12,3.77
77.41,3.75
83.08,3.66
89.17,3.65
95.7,3.54
102.72,3.47
110.24,3.36
118.32,3.23
126.99,3.11
136.3,2.96
146.29,2.78
157.01,2.61
168.52,2.46
180.87,2.36
194.12,2.3
208.35,2.18
223.62,2.02
240.01,1.81
257.59,1.63
276.47,1.44
296.73,1.23
318.48,1.05
341.82,0.85
366.87,0.7
393.75,0.52
422.61,0.35
453.58,0.22
486.82,0.09
522.5,-0.06
560.79,-0.2
601.89,-0.26
646.0,-0.32
693.34,-0.29
744.15,-0.25
798.68,-0.07
857.22,0.17
920.04,0.49
987.46,0.9
1059.83,1.43
1137.5,2.09
1220.86,2.72
1310.33,3.39
1406.35,4.13
1501.81,4.85
1595.67,5.69
1686.85,6.49
1783.24,7.3
1894.68,8.14
2013.09,9.0
2128.12,9.82
2261.12,10.68
2426.83,11.5
2604.68,11.95
2795.56,11.86
3000.43,11.31
3220.32,10.57
3456.32,9.77
3709.61,9.18
3981.47,8.78
4273.25,8.64
4586.41,8.58
4922.53,8.48
5230.16,7.97
5473.44,7.15
5699.18,6.36
5934.22,5.53
6178.95,4.54
6401.36,3.67
6598.36,2.89
6801.42,2.07
7046.23,1.23
7411.33,0.43
7914.39,-0.08
8409.0,0.27
8777.94,1.01
9025.25,1.93
9209.48,2.93
9435.52,4.12
9647.6,5.3
10086.16,6.24
10582.01,5.57
10716.5,4.67
10869.16,3.6
11018.42,2.51
11158.46,1.34
11363.24,0.3
11571.79,-0.89
11903.82,-2.05
12386.41,-2.74
13050.16,-2.04
13282.95,-1.02
13417.84,-0.01
13554.09,1.16
13691.73,2.27
13964.15,3.57
14252.39,4.53
14836.85,2.85
15048.2,1.64
15109.14,0.65
15339.87,-0.48
15574.11,-1.66
15811.94,-2.58
16298.54,-3.52
17013.63,-4.45
17229.86,-5.3
17440.03,-6.45
17688.47,-7.66
17760.1,-8.71
18049.53,-9.64
18492.55,-10.91
18997.56,-12.19
19847.77,-12.58
